host_ts,esp_t_us,free_heap,min_free_heap,stack_hwm,avg_period_us,max_period_us,avg_read_us
1781192098.999885,56634465,161936,158260,20832,98959,102267,35108
1781192100.093393,57733727,161936,158260,20832,99932,102253,35501
1781192101.186784,58823810,161936,158260,20832,99098,101956,35131
1781192102.272881,59913727,161936,158260,20832,99083,100120,34825
1781192103.367935,61003728,161936,158260,20832,99091,102856,35184
1781192104.366247,62003728,161936,158260,20832,100000,104825,35241
1781192105.452359,63093846,161936,158260,20832,99101,101795,35114
1781192106.543466,64183728,161936,158260,20832,99080,110329,35514
1781192107.637349,65273810,161936,158260,20832,99098,103189,35557
1781192111.327827,68963759,161936,156340,20832,99162,102749,35327
1781192112.423063,70063727,161936,156340,20832,99997,102040,35033
1781192113.518242,71153728,161936,156340,20832,99091,103178,35441
1781192114.609434,72243759,161936,156340,20832,99093,103237,35306
1781192115.699480,73333727,161936,156340,20832,99088,100371,34834
1781192116.699338,74333727,161936,156340,20832,100000,107485,34992
1781192126.077657,83713806,161804,156340,20832,98570,103332,35755
1781192127.172856,84813759,161804,156340,20832,99995,100174,34842
1781192128.266441,85903727,161804,156340,20832,99088,103229,34981
1781192129.356802,86993727,161804,156340,20832,99090,101939,35277
1781192130.442992,88083763,161804,156340,20832,99094,102524,34908
1781192131.550214,89186178,161804,156340,20832,100219,102451,35196
1781192132.637804,90273728,161804,156340,20832,98868,102540,35356
1781192138.522774,96163727,161804,156340,20832,99160,100087,34837
1781192139.531857,97167271,161804,156340,20832,100354,103521,35309
1781192140.616129,98253727,160244,156340,20832,98768,108088,36000
1781192141.707467,99343823,161804,156340,20832,99099,105887,34875
1781192142.795327,100436221,161804,156340,20832,99308,102458,35258
1781192143.798351,101437961,161804,156340,20832,100174,104233,36121
1781192144.886438,102523755,161804,156340,20832,98708,100343,34847
1781192151.786956,109425380,161804,156340,20832,99079,102896,35548
1781192152.885819,110523727,161804,156340,20832,99849,100234,34840
1781192153.978629,111615769,161804,156340,20832,99276,102038,34849
1781192155.067189,112703727,161804,156340,20832,98905,102982,35670
1781192156.158701,113793811,161804,156340,20832,99098,102121,35152
1781192157.256937,114894146,161804,156340,20832,100030,104635,35255
1781192165.742756,123383763,161824,156340,20832,98680,103469,35602
1781192166.748076,124383763,161824,156340,20832,100000,102540,35790
1781192167.836940,125473810,161824,156340,20832,99095,102125,35024
1781192168.928610,126563759,161824,156340,20832,99086,100329,34832
1781192170.017144,127653728,161824,156340,20832,99088,104867,35828
1781192171.117881,128753728,161824,156340,20832,100000,101643,34994
1781192177.609416,135246267,161824,156340,20832,98903,103828,35206
1781192178.703706,136343727,161824,156340,20832,99769,102064,35125
1781192179.797174,137433976,161824,156340,20832,99113,100249,34852
1781192180.884907,138523728,161824,156340,20832,99068,102157,35328
1781192181.977351,139613978,161824,156340,20832,99113,104802,35679
1781192183.078039,140713727,161824,156340,20832,99977,102364,35036
1781192184.162563,141803728,161824,156340,20832,99091,103012,35495
1781192186.656874,144293727,161824,156340,20832,99383,103302,35099
1781192187.652140,145293727,161824,156340,20832,100000,102109,35028
1781192188.750257,146387207,161824,156340,20832,99407,109197,36325
1781192189.837415,147473735,161824,156340,20832,98775,100091,34831
1781192190.927748,148563727,161824,156340,20832,99090,103502,35191
1781192191.927399,149563727,161824,156340,20832,100000,105121,35617
